question_id,label
122525,suicidal
111029,suicidal
108015,non-suicidal
112728,non-suicidal
101430,non-suicidal
112781,non-suicidal
101169,non-suicidal
127283,suicidal
110942,suicidal
111465,non-suicidal
108008,suicidal
115318,non-suicidal
126923,suicidal
109998,non-suicidal
121172,non-suicidal
121198,suicidal
121489,suicidal
110088,non-suicidal
114986,non-suicidal
121531,suicidal
111107,suicidal
115252,non-suicidal
100616,suicidal
104312,suicidal
119146,suicidal
100559,non-suicidal
109965,non-suicidal
100426,non-suicidal
109843,non-suicidal
116302,non-suicidal
125775,non-suicidal
102433,non-suicidal
100871,suicidal
115758,suicidal
108998,non-suicidal
121193,non-suicidal
109449,suicidal
116464,suicidal
100785,suicidal
121036,non-suicidal
110605,non-suicidal
123565,non-suicidal
122582,non-suicidal
115745,non-suicidal
118162,non-suicidal
103369,non-suicidal
101230,suicidal
109612,suicidal
104035,non-suicidal
118559,non-suicidal
113776,suicidal
121625,non-suicidal
125687,non-suicidal
118034,suicidal
107705,non-suicidal
110378,suicidal
117820,non-suicidal
102836,non-suicidal
107657,non-suicidal
109125,non-suicidal
121252,suicidal
103079,non-suicidal
122809,suicidal
101733,non-suicidal
119097,suicidal
122297,suicidal
119482,non-suicidal
126744,non-suicidal
112571,non-suicidal
107014,non-suicidal
121895,suicidal
110604,suicidal
125808,suicidal
101113,non-suicidal
123623,suicidal
124198,non-suicidal
113845,suicidal
101609,suicidal
116604,suicidal
113841,suicidal
110532,non-suicidal
126455,non-suicidal
111714,suicidal
100510,non-suicidal
114726,non-suicidal
118532,suicidal
124824,non-suicidal
120350,non-suicidal
108490,suicidal
101429,non-suicidal
101986,suicidal
104300,non-suicidal
112217,suicidal
127317,suicidal
100865,non-suicidal
123082,suicidal
102425,non-suicidal
116763,suicidal
107121,non-suicidal
104383,suicidal
126742,non-suicidal
116241,non-suicidal
118317,suicidal
113790,non-suicidal
112431,suicidal
101351,suicidal
108908,non-suicidal
127296,non-suicidal
122231,non-suicidal
124563,non-suicidal
107348,non-suicidal
122522,non-suicidal
119444,suicidal
126352,non-suicidal
112911,non-suicidal
102767,non-suicidal
120062,suicidal
105463,suicidal
124706,suicidal
105158,non-suicidal
101581,non-suicidal
107516,suicidal
111738,non-suicidal
122918,non-suicidal
116558,suicidal
106797,suicidal
110067,suicidal
123618,non-suicidal
123245,suicidal
113148,suicidal
104037,non-suicidal
122073,suicidal
103741,suicidal
111516,suicidal
116478,non-suicidal
110006,non-suicidal
117967,non-suicidal
115706,non-suicidal
126871,suicidal
108109,non-suicidal
113932,suicidal
100140,non-suicidal
115124,non-suicidal
103536,non-suicidal
113135,non-suicidal
107531,non-suicidal
116234,suicidal
113331,non-suicidal
104887,non-suicidal
104659,suicidal
104823,non-suicidal
127029,non-suicidal
115494,non-suicidal
119552,non-suicidal
120601,non-suicidal
109662,suicidal
106687,non-suicidal
112281,suicidal
109594,suicidal
119668,suicidal
110392,non-suicidal
103807,suicidal
108077,non-suicidal
113669,suicidal
121127,suicidal
108216,suicidal
122406,suicidal
111749,suicidal
115345,suicidal
110607,non-suicidal
100762,non-suicidal
111666,non-suicidal
100026,non-suicidal
106023,non-suicidal
114164,non-suicidal
124760,suicidal
118718,suicidal
107810,non-suicidal
104134,suicidal
123372,suicidal
125131,suicidal
109227,non-suicidal
110155,non-suicidal
122598,non-suicidal
111835,suicidal
108024,non-suicidal
121590,non-suicidal
110718,suicidal
104811,non-suicidal
114721,non-suicidal
108544,non-suicidal
108569,non-suicidal
126394,suicidal
102736,suicidal
122720,suicidal
114970,suicidal
119040,non-suicidal
111459,non-suicidal
119798,suicidal
111016,suicidal
104020,suicidal
124757,non-suicidal
108853,suicidal
108042,non-suicidal
109747,suicidal
123378,non-suicidal
104140,non-suicidal
116122,non-suicidal
116311,suicidal
120272,non-suicidal
122575,suicidal
104439,non-suicidal
106456,non-suicidal
109326,non-suicidal
109034,non-suicidal
105144,non-suicidal
100395,suicidal
118762,non-suicidal
115921,non-suicidal
122909,non-suicidal
123430,suicidal
109220,non-suicidal
122318,non-suicidal
101000,suicidal
121020,suicidal
109634,non-suicidal
121322,non-suicidal
124048,non-suicidal
126000,suicidal
126999,suicidal
126251,non-suicidal
121259,suicidal
123387,non-suicidal
125910,suicidal
108371,suicidal
112251,suicidal
108357,non-suicidal
124345,non-suicidal
105544,suicidal
107428,suicidal
111505,suicidal
110939,non-suicidal
111534,suicidal
105167,non-suicidal
104738,suicidal
121812,non-suicidal
101338,non-suicidal
103934,suicidal
116556,suicidal
119703,non-suicidal
110727,non-suicidal
113300,non-suicidal
102808,non-suicidal
102606,non-suicidal
100726,suicidal
105607,non-suicidal
115247,non-suicidal
102860,suicidal
109652,non-suicidal
109026,non-suicidal
116800,suicidal
112487,suicidal
127189,non-suicidal
127170,suicidal
124283,non-suicidal
117914,non-suicidal
118482,suicidal
107321,suicidal
124260,suicidal
111652,non-suicidal
100768,non-suicidal
115010,suicidal
114997,non-suicidal
127053,suicidal
118657,non-suicidal
108318,suicidal
103320,suicidal
106563,non-suicidal
112597,non-suicidal
110024,suicidal
106276,non-suicidal
123722,suicidal
118866,suicidal
119981,suicidal
118208,suicidal
101745,non-suicidal
113147,non-suicidal
122431,suicidal
117561,suicidal
106749,suicidal
109471,non-suicidal
113595,non-suicidal
122703,non-suicidal
106530,non-suicidal
104896,non-suicidal
125723,non-suicidal
106358,non-suicidal
121873,suicidal
115663,non-suicidal
116057,non-suicidal
121538,suicidal
110498,non-suicidal
101276,non-suicidal
113820,suicidal
123146,non-suicidal
112897,suicidal
103760,suicidal
114540,non-suicidal
106353,non-suicidal
123747,suicidal
121838,non-suicidal
118000,suicidal
108021,suicidal
111299,non-suicidal
109337,suicidal
101790,non-suicidal
109534,suicidal
107930,non-suicidal
102296,suicidal
121617,non-suicidal
105311,non-suicidal
121665,suicidal
103656,suicidal
119416,suicidal
104899,suicidal
113618,non-suicidal
104298,suicidal
100753,suicidal
101146,non-suicidal
111853,suicidal
114456,suicidal
104892,suicidal
106597,non-suicidal
108031,non-suicidal
109064,non-suicidal
127438,non-suicidal
115549,suicidal
117683,non-suicidal
114181,non-suicidal
124737,suicidal
119677,non-suicidal
109403,suicidal
102186,suicidal
104259,suicidal
106311,non-suicidal
109317,suicidal
116980,non-suicidal
100681,non-suicidal
109739,non-suicidal
102207,suicidal
111520,non-suicidal
123156,suicidal
115934,non-suicidal
109084,non-suicidal
103979,non-suicidal
118511,suicidal
121512,non-suicidal
100979,suicidal
119875,suicidal
113914,suicidal
101373,non-suicidal
123001,suicidal
112776,suicidal
119381,non-suicidal
105783,suicidal
107718,suicidal
106225,suicidal
116935,suicidal
117254,non-suicidal
112544,non-suicidal
122850,suicidal
121677,non-suicidal
110838,suicidal
100435,suicidal
114134,non-suicidal
100192,suicidal
110539,suicidal
114234,suicidal
115719,suicidal
126572,suicidal
101971,suicidal
127281,suicidal
125283,non-suicidal
122464,non-suicidal
103231,suicidal
115507,non-suicidal
100881,non-suicidal
114074,suicidal
102850,non-suicidal
118386,non-suicidal
101155,non-suicidal
126391,suicidal
122997,suicidal
118234,suicidal
105784,non-suicidal
104058,suicidal
119694,non-suicidal
125884,suicidal
120666,non-suicidal
121004,non-suicidal
113319,suicidal
106025,suicidal
116612,suicidal
111286,suicidal
107800,non-suicidal
103416,suicidal
121075,non-suicidal
113040,non-suicidal
100547,suicidal
116513,non-suicidal
114903,non-suicidal
109308,non-suicidal
126666,non-suicidal
123711,non-suicidal
122311,non-suicidal
101242,suicidal
119945,suicidal
119831,non-suicidal
117577,suicidal
100892,non-suicidal
126949,suicidal
123643,non-suicidal
120245,suicidal
119107,suicidal
116743,non-suicidal
104733,non-suicidal
126136,suicidal
110382,suicidal
106983,suicidal
104616,suicidal
117643,suicidal
120359,non-suicidal
112386,suicidal
107983,suicidal
110270,non-suicidal
109409,non-suicidal
116826,non-suicidal
104368,non-suicidal
105131,suicidal
102922,suicidal
103351,non-suicidal
116025,non-suicidal
101058,non-suicidal
120612,suicidal
106140,suicidal
106443,suicidal
117513,non-suicidal
107714,non-suicidal
102135,suicidal
122002,non-suicidal
126799,non-suicidal
124027,suicidal
107181,non-suicidal
107070,non-suicidal
113505,suicidal
114365,non-suicidal
105901,non-suicidal
103530,suicidal
110211,suicidal
111895,non-suicidal
119655,suicidal
114352,suicidal
117563,non-suicidal
110906,suicidal
110345,suicidal
119301,suicidal
105917,suicidal
102920,suicidal
103096,non-suicidal
114012,non-suicidal
127390,suicidal
112822,non-suicidal
106743,suicidal
127437,non-suicidal
113085,non-suicidal
105592,non-suicidal
118828,non-suicidal
121984,suicidal
106919,non-suicidal
102196,non-suicidal
110768,non-suicidal
116292,suicidal
110775,suicidal
125826,non-suicidal
106272,non-suicidal
115168,suicidal
126768,non-suicidal
105823,non-suicidal
105643,non-suicidal
120154,suicidal
109602,suicidal
104909,suicidal
107299,non-suicidal
124147,non-suicidal
120944,suicidal
108237,non-suicidal
120240,suicidal
118328,suicidal
117888,non-suicidal
101270,non-suicidal
108639,non-suicidal
106665,suicidal
106148,suicidal
103725,non-suicidal
108290,non-suicidal
109089,non-suicidal
120076,non-suicidal
124884,suicidal
104711,non-suicidal
108132,non-suicidal
107641,non-suicidal
125225,non-suicidal
122755,suicidal
122533,suicidal
123827,suicidal
122125,non-suicidal
106722,suicidal
123365,non-suicidal
124693,non-suicidal
116821,suicidal
107568,suicidal
120005,non-suicidal
100576,suicidal
116438,suicidal
121562,non-suicidal
104488,suicidal
111123,suicidal
111780,suicidal
123940,suicidal
106447,non-suicidal
120714,suicidal
118947,suicidal
102739,non-suicidal
113593,suicidal
110019,suicidal
105173,non-suicidal
121652,non-suicidal
100509,non-suicidal
110923,suicidal
124419,suicidal
109071,non-suicidal
124270,suicidal
117044,non-suicidal
119693,non-suicidal
112549,non-suicidal
101837,suicidal
103769,non-suicidal
114339,suicidal
122965,non-suicidal
113048,non-suicidal
105154,non-suicidal
102924,suicidal
115493,non-suicidal
117971,suicidal
122697,suicidal
119492,suicidal
126662,suicidal
121338,non-suicidal
105381,non-suicidal
124961,suicidal
118994,non-suicidal
121571,non-suicidal
124302,non-suicidal
117145,non-suicidal
117959,non-suicidal
100292,non-suicidal
120009,non-suicidal
126987,non-suicidal
126681,suicidal
112731,non-suicidal
102940,non-suicidal
120177,non-suicidal
109672,suicidal
100198,non-suicidal
117154,non-suicidal
109611,non-suicidal
100730,non-suicidal
116977,non-suicidal
109431,non-suicidal
119165,non-suicidal
124702,non-suicidal
119860,suicidal
106399,non-suicidal
117186,non-suicidal
118603,suicidal
112917,non-suicidal
101492,non-suicidal
118102,non-suicidal
121683,non-suicidal
104765,non-suicidal
126093,non-suicidal
114060,suicidal
109625,suicidal
100143,suicidal
117274,non-suicidal
124402,non-suicidal
105722,suicidal
123501,suicidal
102883,non-suicidal
108163,non-suicidal
119719,suicidal
113620,suicidal
101103,non-suicidal
109454,non-suicidal
100766,non-suicidal
112647,suicidal
101120,suicidal
111800,suicidal
122240,non-suicidal
108161,suicidal
102240,non-suicidal
124773,suicidal
120254,suicidal
121401,non-suicidal
103766,non-suicidal
125450,suicidal
113175,non-suicidal
107202,non-suicidal
108067,non-suicidal
118287,non-suicidal
101987,suicidal
102172,non-suicidal
104191,non-suicidal
123154,suicidal
101513,suicidal
102236,suicidal
124622,non-suicidal
122252,non-suicidal
114804,suicidal
107902,suicidal
121074,non-suicidal
106461,suicidal
112802,non-suicidal
111915,non-suicidal
117308,suicidal
108145,non-suicidal
101399,non-suicidal
127208,suicidal
120517,non-suicidal
105492,non-suicidal
118413,suicidal
107968,non-suicidal
107344,non-suicidal
105730,non-suicidal
124123,suicidal
122520,non-suicidal
120763,non-suicidal
104393,suicidal
116129,non-suicidal
113647,suicidal
107380,non-suicidal
118047,non-suicidal
109111,non-suicidal
109007,suicidal
117456,suicidal
106081,suicidal
116580,non-suicidal
100317,non-suicidal
104192,suicidal
107050,suicidal
122840,non-suicidal
125835,non-suicidal
102112,non-suicidal
106642,suicidal
124219,non-suicidal
103448,non-suicidal
108937,non-suicidal
121868,suicidal
120825,suicidal
110478,suicidal
107422,suicidal
115056,suicidal
112586,non-suicidal
113783,suicidal
118604,non-suicidal
123395,suicidal
118191,non-suicidal
112450,non-suicidal
122203,non-suicidal
105145,suicidal
109211,non-suicidal
103729,suicidal
112832,suicidal
127155,non-suicidal
119567,non-suicidal
109835,suicidal
105788,suicidal
108865,suicidal
105717,suicidal
106624,non-suicidal
115996,non-suicidal
125779,suicidal
103622,non-suicidal
119826,non-suicidal
102577,suicidal
121510,non-suicidal
112061,suicidal
107853,suicidal
121330,non-suicidal
107046,non-suicidal
113128,non-suicidal
116632,non-suicidal
124051,non-suicidal
125518,non-suicidal
110365,non-suicidal
126842,suicidal
104691,suicidal
116960,suicidal
104885,non-suicidal
121927,suicidal
112955,non-suicidal
106060,suicidal
100565,suicidal
118425,non-suicidal
114371,suicidal
102874,non-suicidal
112443,non-suicidal
122876,non-suicidal
118576,suicidal
103376,non-suicidal
123912,suicidal
120288,non-suicidal
111839,suicidal
106780,suicidal
125222,suicidal
105483,non-suicidal
125559,suicidal
119388,non-suicidal
109042,suicidal
102334,non-suicidal
123599,suicidal
112937,suicidal
122163,suicidal
103704,suicidal
125331,suicidal
114595,suicidal
109083,suicidal
120078,suicidal
101836,suicidal
103195,suicidal
105577,non-suicidal
105998,non-suicidal
121179,suicidal
118498,suicidal
124904,suicidal
100584,suicidal
112351,non-suicidal
108321,suicidal
102927,suicidal
123081,non-suicidal
126774,suicidal
118306,suicidal
103829,suicidal
122988,non-suicidal
115848,non-suicidal
104271,non-suicidal
123737,non-suicidal
115961,suicidal
109663,non-suicidal
102261,suicidal
114549,non-suicidal
102609,suicidal
106977,suicidal
103724,non-suicidal
101906,suicidal
120679,suicidal
101649,non-suicidal
100166,suicidal
104183,non-suicidal
112363,suicidal
102528,suicidal
102502,non-suicidal
123426,suicidal
120102,non-suicidal
125227,suicidal
101240,non-suicidal
105329,suicidal
102470,non-suicidal
100185,suicidal
109701,non-suicidal
105656,non-suicidal
113322,non-suicidal
121925,non-suicidal
126406,non-suicidal
113340,suicidal
107894,non-suicidal
102404,non-suicidal
107972,suicidal
112202,suicidal
104679,non-suicidal
117927,suicidal
107488,non-suicidal
112821,non-suicidal
126501,suicidal
121024,suicidal
100827,suicidal
108748,non-suicidal
123679,non-suicidal
110407,non-suicidal
124831,suicidal
113199,suicidal
119828,non-suicidal
108179,suicidal
111882,non-suicidal
116766,non-suicidal
117238,non-suicidal
120292,non-suicidal
115415,suicidal
118219,non-suicidal
110973,non-suicidal
112858,suicidal
124714,suicidal
125173,non-suicidal
114712,suicidal
118417,non-suicidal
101171,suicidal
102012,non-suicidal
119854,non-suicidal
109974,non-suicidal
126438,non-suicidal
115875,non-suicidal
116277,non-suicidal
114291,suicidal
113497,suicidal
118400,non-suicidal
125466,non-suicidal
118638,non-suicidal
110387,non-suicidal
117305,suicidal
127443,suicidal
113027,suicidal
104169,suicidal
117832,suicidal
120124,suicidal
118371,non-suicidal
123327,suicidal
101264,suicidal
123165,non-suicidal
119471,suicidal
111828,non-suicidal
107875,non-suicidal
112222,non-suicidal
102972,suicidal
115423,non-suicidal
124197,non-suicidal
100886,suicidal
120432,non-suicidal
116420,non-suicidal
123098,suicidal
108438,suicidal
104088,suicidal
105147,suicidal
117087,non-suicidal
100019,non-suicidal
118341,suicidal
120498,suicidal
125187,suicidal
126107,suicidal
105915,non-suicidal
112630,non-suicidal
114661,non-suicidal
127086,suicidal
110127,suicidal
121244,non-suicidal
113262,suicidal
113169,suicidal
103271,suicidal
121251,non-suicidal
103265,non-suicidal
112985,suicidal
119106,suicidal
125282,non-suicidal
102547,suicidal
104661,non-suicidal
115401,non-suicidal
108486,suicidal
107528,non-suicidal
109583,non-suicidal
104529,non-suicidal
125798,suicidal
119685,suicidal
107883,suicidal
103726,non-suicidal
112924,suicidal
113080,suicidal
118156,suicidal
110344,suicidal
102742,suicidal
112812,non-suicidal
104998,suicidal
108367,suicidal
108211,suicidal
122578,non-suicidal
109517,suicidal
121781,suicidal
102848,suicidal
103267,suicidal
109346,suicidal
123878,non-suicidal
118283,suicidal
117003,suicidal
103684,suicidal
124047,suicidal
125198,suicidal
126737,suicidal
120893,suicidal
119411,non-suicidal
114622,suicidal
110431,non-suicidal
123411,non-suicidal
125039,non-suicidal
107951,suicidal
107783,suicidal
119623,suicidal
126912,non-suicidal
108069,suicidal
102847,suicidal
109773,suicidal
123897,suicidal
121714,suicidal
104261,non-suicidal
106091,suicidal
116176,non-suicidal
119954,suicidal
116918,non-suicidal
114050,suicidal
102270,suicidal
104769,suicidal
114187,suicidal
104880,suicidal
106773,suicidal
108181,suicidal
119082,non-suicidal
119435,non-suicidal
125101,suicidal
121728,non-suicidal
108286,non-suicidal
116996,suicidal
119841,non-suicidal
105728,non-suicidal
116527,suicidal
119911,suicidal
100956,non-suicidal
119079,suicidal
103601,suicidal
102663,suicidal
124039,suicidal
113803,suicidal
105520,non-suicidal
118844,non-suicidal
103903,suicidal
104105,non-suicidal
125839,non-suicidal
119419,non-suicidal
101128,suicidal
122282,non-suicidal
104436,non-suicidal
107386,non-suicidal
110641,suicidal
120051,non-suicidal
123380,non-suicidal
122227,non-suicidal
110383,suicidal
125592,suicidal
116194,non-suicidal
106805,suicidal
120858,suicidal
101988,non-suicidal
104015,suicidal
117270,suicidal
122390,non-suicidal
108393,non-suicidal
104667,non-suicidal
107682,suicidal
123947,suicidal
115664,suicidal
125122,non-suicidal
122885,suicidal
100880,non-suicidal
114088,suicidal
107586,non-suicidal
115746,suicidal
111025,non-suicidal
114613,non-suicidal
109548,suicidal
100373,suicidal
117146,non-suicidal
116286,suicidal
106134,non-suicidal
103624,suicidal
113286,suicidal
106004,suicidal
104052,suicidal
116927,non-suicidal
101611,non-suicidal
108548,non-suicidal
123096,suicidal
110570,suicidal
119121,non-suicidal
117708,suicidal
119360,non-suicidal
106310,non-suicidal
126601,non-suicidal
123329,suicidal
119713,suicidal
107946,suicidal
121850,suicidal
118715,non-suicidal
124619,suicidal
122795,non-suicidal
112079,non-suicidal
120306,non-suicidal
109764,non-suicidal
117066,suicidal
113659,non-suicidal
123248,non-suicidal
118574,non-suicidal
108964,non-suicidal
100243,suicidal
126031,non-suicidal
117006,suicidal
118314,suicidal
107644,non-suicidal
117339,suicidal
118890,suicidal
115073,suicidal
104619,non-suicidal
111658,non-suicidal
121451,suicidal
107879,non-suicidal
117457,suicidal
105229,non-suicidal
107086,suicidal
125682,suicidal
108426,suicidal
122327,suicidal
112835,suicidal
125979,non-suicidal
105276,non-suicidal
105466,suicidal
117635,suicidal
127362,non-suicidal
119190,non-suicidal
120851,non-suicidal
124624,non-suicidal
100579,suicidal
116713,suicidal
121898,suicidal
105029,suicidal
117732,suicidal
112657,non-suicidal
118275,non-suicidal
125475,suicidal
110945,suicidal
111356,suicidal
121666,non-suicidal
113004,suicidal
126338,non-suicidal
110520,non-suicidal
113246,suicidal
108016,suicidal
117152,non-suicidal
121937,non-suicidal
102733,non-suicidal
108903,suicidal
125069,suicidal
110245,suicidal
104974,non-suicidal
100064,suicidal
101602,non-suicidal
102127,non-suicidal
113818,non-suicidal
109925,non-suicidal
115455,suicidal
103030,non-suicidal
117364,non-suicidal
102079,suicidal
107313,non-suicidal
111393,suicidal
111689,suicidal
100971,suicidal
124649,suicidal
108788,non-suicidal
114634,non-suicidal
101249,non-suicidal
111192,suicidal
116158,non-suicidal
112957,non-suicidal
111566,non-suicidal
118562,non-suicidal
107382,suicidal
118238,non-suicidal
125362,suicidal
125409,suicidal
105933,non-suicidal
105280,non-suicidal
101766,suicidal
106727,non-suicidal
124226,suicidal
104445,non-suicidal
108721,non-suicidal
124793,suicidal
105362,suicidal
118714,non-suicidal
125804,non-suicidal
109368,non-suicidal
110804,non-suicidal
125872,non-suicidal
108004,non-suicidal
118613,suicidal
106567,suicidal
120941,suicidal
102813,suicidal
113223,suicidal
123582,non-suicidal
101192,non-suicidal
101717,non-suicidal
102144,suicidal
125973,suicidal
112368,non-suicidal
108968,non-suicidal
122434,suicidal
106365,suicidal
112814,suicidal
101994,suicidal
117220,suicidal
113651,non-suicidal
119298,non-suicidal
124308,non-suicidal
102219,non-suicidal
113295,suicidal
101488,suicidal
102342,non-suicidal
120787,suicidal
125961,non-suicidal
109312,non-suicidal
109590,non-suicidal
110357,non-suicidal
126858,suicidal
103406,non-suicidal
115297,suicidal
105688,suicidal
125750,non-suicidal
101862,non-suicidal
113811,suicidal
110890,non-suicidal
113058,non-suicidal
114570,suicidal
123228,non-suicidal
106908,suicidal
123991,suicidal
111951,non-suicidal
127167,suicidal
118484,suicidal
107035,non-suicidal
102368,non-suicidal
102210,non-suicidal
101291,non-suicidal
124256,suicidal
118344,suicidal
111262,suicidal
112082,suicidal
103380,non-suicidal
104636,suicidal
113230,non-suicidal
106832,suicidal
125780,suicidal
125848,suicidal
106921,suicidal
101538,non-suicidal
110869,suicidal
116880,suicidal
100134,suicidal
108631,suicidal
113673,suicidal
121678,suicidal
107558,non-suicidal
104274,suicidal
112403,suicidal
106196,non-suicidal
101271,suicidal
101228,suicidal
118203,suicidal
117798,suicidal
106040,non-suicidal
125646,suicidal
126913,non-suicidal
103706,non-suicidal
102906,non-suicidal
101161,non-suicidal
100275,suicidal
119420,suicidal
115317,suicidal
123889,non-suicidal
105834,suicidal
118335,suicidal
109732,suicidal
